tipo_renta;descripcion;articulo_ley;codigo_ocde
28;Se incluye dentro de la enajenacion de de empresas no domiciliadas en el pais la enajenacion de ADRïs (American Depositary Receipts) que tengan como subyacente a tales acciones.;Art. 10ø e);13
29;Sujeto es el No Dom que distribuye  por la reduccion de capital dentro de los 12 meses anteriores cuando hubiera aumentado su capital como consecuencia de nuevos aportes, de capitalizacion de creditos o de una reorganizacion;Art. 10 f);10
30;Actividades de Seguros 7% sobre las primas.Comisiones por  Reaseguros sobre personas y/o bienes radicados en el pais;Art. 12 y 48øa);07 - 21
31;Alquiler de Naves, 8% sobre Ingresos Brutos que perciban por dicha actividad;Art. 12 y 48øb) ;8
32;Alquiler de Aeronaves, 60% sobre Ingresos Brutos que perciban por dicha actividad;Art. 12 y 48ø c);8
33;1% por el ingresos brutos por el transporte aereo.;Art. 12 y 48ø d);8
34;Excepto Otros transportes no aereos o maritimos que van por los ingresos de la parte prestada en el pais;Art. 12 y 48ø d);8
35;2% por el ingresos brutos por fletamiento o transporte maritimo. ;Art. 12 y 48ø d);8
36;Empresas por reciprocidad en lineas extranjeras con sedes en esos paises;Art. 12 y 48ø d);24
37;Servicio portadores, teleservicios o finales, difusion y de valor anadido. Con excepcion de los Servicios Digitales segun 4-A;Art 12  y 48øe);07 - 21
38;10%. sobre las remuneraciones brutas que obtengan por el suministro de noticias y, en general material informativo o grafico, a personas o entidades domiciliadas o que utilicen dicho material en el pais.;Art 12  y 48ø f);07 - 21
39;"para su utilizacion por personas naturales o juridicas domiciliadas: 20% sobre los ingresos brutos que perciban por el uso de peliculas cinematograficas o para television, ""video tape"", radionovelas, discos fonograficos, historietas graficas y cualquier otro medio similar de proyeccion, reproduccion, transmisi¢n o difusion de imagenes o sonidos.";Art 12  y 48ø g);07 - 21
40;en el pais o desde el pais al exterior y no presten el servicio de transporte 15% de los ingresos brutos que obtengan por dicho suministro.;Art 12  y 48ø h);8
41;80% de los ingresos brutos que obtengan por el exceso de estadia de contenedores.;Art 12  y 48ø i);07 - 21
42;20% de los ingresos brutos que obtengan los contribuyentes no domiciliados por la cesion de derechos para la retransmision por televisi¢n en el pais de eventos en vivo realizados en el extranjero. ;Art 12  y 48ø j);07 - 21
43;Extranjeros que ingresan al pais y cuentas con las siguientes calidades especificas a prestar servicios;Art. 13ø;15
0;Bienes;;
